id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
16	pabon (2020)	"<table><tr><td>Authors:</td><td>pabon, juan j, g.; khosravi, ali; malekan, m.; sandoval, oscar r.</td></tr><tr><td>Title:</td><td>modeling and energy analysis of a linear concentrating photovoltaic system cooled by two-phase mechanical pumped loop system</td></tr><tr><td>Source:</td><td>renewable energy, 157</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2020.05.039	0.3878	-0.7356	28	2	0	0	2020	0	0
27	agwa (2020)	"<table><tr><td>Authors:</td><td>agwa, ahmed m.; el-fergany, attia a.; maksoud, hady a.</td></tr><tr><td>Title:</td><td>electrical characterization of photovoltaic modules using farmland fertility optimizer</td></tr><tr><td>Source:</td><td>energy conversion and management, 217</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2020.112990	0.5578	-0.0717	37	17	0	0	2020	0	0
38	zahedi (2020)	"<table><tr><td>Authors:</td><td>zahedi, r.; ardehali, m. m.</td></tr><tr><td>Title:</td><td>power management for storage mechanisms including battery, supercapacitor, and hydrogen of autonomous hybrid green power system utilizing multiple optimally-designed fuzzy logic controllers</td></tr><tr><td>Source:</td><td>energy, 204</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.energy.2020.117935	1.0399	0.1199	4	3	0	0	2020	0	0
62	shittu (2020)	"<table><tr><td>Authors:</td><td>shittu, samson; li, guiqiang; tang, xin; zhao, xudong; ma, xiaoli; badiei, ali</td></tr><tr><td>Title:</td><td>analysis of thermoelectric geometry in a concentrated photovoltaic-thermoelectric under varying weather conditions</td></tr><tr><td>Source:</td><td>energy, 202</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.energy.2020.117742	0.3917	-0.6553	11	5	0	0	2020	0	0
66	mayer (2020)	"<table><tr><td>Authors:</td><td>mayer, martin jános; szilágyi, artúr; gróf, gyula</td></tr><tr><td>Title:</td><td>environmental and economic multi-objective optimization of a household level hybrid renewable energy system by genetic algorithm</td></tr><tr><td>Source:</td><td>applied energy, 269</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.115058	-0.4014	-0.3994	34	3	0	0	2020	0	0
70	theocharides (2020)	"<table><tr><td>Authors:</td><td>theocharides, spyros; makrides, george; livera, andreas; theristis, marios; kaimakis, paris; georghiou, george e.</td></tr><tr><td>Title:</td><td>day-ahead photovoltaic power production forecasting methodology based on machine learning and statistical post-processing</td></tr><tr><td>Source:</td><td>applied energy, 268</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.115023	-0.0907	0.3054	25	3	0	0	2020	0	0
85	zambrano (2020)	"<table><tr><td>Authors:</td><td>zambrano, andres felipe; giraldo, luis felipe</td></tr><tr><td>Title:</td><td>solar irradiance forecasting models without on-site training measurements</td></tr><tr><td>Source:</td><td>renewable energy, 152</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2020.01.092	-0.2561	0.3516	14	5	0	0	2020	0	0
91	reimuth (2020)	"<table><tr><td>Authors:</td><td>reimuth, andrea; locherer, veronika; danner, martin; mauser, wolfram</td></tr><tr><td>Title:</td><td>how does the rate of photovoltaic installations and coupled batteries affect regional energy balancing and self-consumption of residential buildings?</td></tr><tr><td>Source:</td><td>energies, 13</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/en13112738	-1.3238	-0.4512	20	2	0	0	2020	0	0
101	arias garcía (2020)	"<table><tr><td>Authors:</td><td>arias garcía, rodolfo manuel; pérez abril, ignacio</td></tr><tr><td>Title:</td><td>photovoltaic module model determination by using the tellegen's theorem</td></tr><tr><td>Source:</td><td>renewable energy, 152</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2020.01.048	0.3654	-0.2666	42	2	0	0	2020	0	0
102	voyant (2020)	"<table><tr><td>Authors:</td><td>voyant, cyril; notton, gilles; duchaud, jean laurent; almorox, javier; yaseen, zaher mundher</td></tr><tr><td>Title:</td><td>solar irradiation prediction intervals based on box–cox transformation and univariate representation of periodic autoregressive model</td></tr><tr><td>Source:</td><td>renewable energy focus, 33</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ref.2020.04.001	-0.3007	0.3028	5	4	0	0	2020	0	0
