id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	1d	-0.824	0.4988	4	54	118	8	2017.375	5.625	0.9094
9	2d	-0.5842	0.5696	2	86	243	14	2017	10.0714	1.4207
14	3d	-0.7373	0.4057	2	112	493	28	2016.9286	7.4286	0.741
35	ab initio	-0.9335	1.0007	2	43	94	7	2018	8.1429	1.1182
45	absorber	-0.8587	0.5392	2	181	1845	117	2017.1795	12.7692	1.702
49	absorption	-0.8765	-0.1777	2	86	271	14	2018.2143	5.9286	1.7737
50	absorption chiller	-0.8985	-0.2887	2	47	104	5	2017.2	11.4	2.8258
63	ac microgrid	0.7339	-0.6744	6	63	135	6	2018.8333	1	0.396
96	accuracy	-0.3165	0.4358	5	94	192	12	2017.25	7.9167	0.5482
111	active cooling	-1.0109	0.5151	2	52	131	6	2017.3333	7.8333	0.6671
115	active distribution network	0.5956	-0.1594	6	65	168	10	2017.6	3.4	0.3627
125	active power	0.7723	0.3152	3	84	195	10	2017.7	2.5	0.3223
128	active power curtailment	0.3454	-0.6546	6	50	103	6	2017.6667	19.1667	2.8272
129	active power decoupling	0.8097	0.6251	3	44	86	5	2017	5.6	0.5447
131	active power filter	1.0721	0.5485	3	34	91	5	2017	3.6	0.5261
170	adaptive neuro-fuzzy inference system	0.1281	0.1242	8	97	320	15	2017	10.9333	0.9911
227	agent based model	0.1248	-0.6792	1	62	133	8	2017.375	27.625	2.2842
228	agent based modeling	-0.3267	-0.7724	1	84	317	20	2017.85	12.5	1.9598
237	aggregation	0.3105	-0.9779	1	56	167	10	2017.1	1.7	0.1813
241	aging	0.0381	-0.1551	10	423	4645	257	2017.2957	8.2529	1.0077
254	air	-0.7134	0.0121	2	459	7216	399	2017.0501	9.0852	1.1598
295	algorithm	-0.036	-0.0069	1	1118	101411	5599	2017.1368	9.3963	1.1227
301	algoritm	-0.0163	0.0787	5	356	4217	203	2017.3695	9.5616	1.596
329	ambient temperature	-0.3258	0.013	4	74	176	9	2018.2222	9.2222	1.1901
356	analysis	-0.0899	-0.0015	2	1068	52114	2948	2017.0804	8.0926	1.0312
367	analytical method	-0.2275	0.866	5	49	109	6	2017.6667	8.8333	0.9756
375	ancillary services	0.5417	0.2422	5	67	139	7	2017	7.1429	0.676
381	anfis	0.1607	0.2501	4	169	951	46	2017.1304	12.5217	1.1625
386	angstrom-prescott	0.1373	0.0076	8	48	90	5	2017.2	2.6	0.1768
480	arima	-0.2613	-0.2585	4	97	310	15	2017	7.4667	0.8898
482	arma	-0.2353	0.0477	4	124	394	20	2017.3	8.05	1.0271
485	array	-0.3493	0.9887	5	49	82	5	2015	5.8	0.4954
486	array configuration	-0.1231	1.2113	8	30	81	5	2016.2	6.6	0.7175
496	artificial bee colony	0.0713	0.3762	5	123	430	21	2017.5238	17.2857	1.7758
505	artificial intelligence	-0.0362	-0.3487	4	135	558	28	2018.1429	9.7857	1.6065
