author,year,journal,title,keywords,doi,is_bipv,is_shadow,is_ml,is_dl,is_nn,is_cnn,is_rnn
Smestad G.P.,2020,Sci. Rep.,Modelling photovoltaic soiling losses through optical characterization,"['system', 'correlation', 'photovoltaic', 'cell', 'none', 'module']",10.1038/s41598-019-56868-z,0,0,0,0,0,0,0
Hamdi H.,2020,Prot. Cont. Mod. Power Sys.,A sliding-neural network control of induction-motor-pump supplied by photovoltaic generator,"['generator', 'fuzzy', 'power', 'characteristization', 'adaptive neuro-fuzzy inference system', 'deep learning', 'MPP', 'simulation', 'model', 'renewable energy', 'efficiency', 'system', 'pump', 'energy', 'controller', 'optimization', 'control', 'performance', 'photovoltaic', 'fuzzy logic', 'neural network', 'photovoltaic  system', 'mppt', 'fuzzy logic controller', 'sliding mode controller', 'MPPT', 'algorithm', 'machine learning', 'modeling', 'anfis', 'mpp', 'inverter', 'weather']",10.1186/s41601-019-0145-1,0,0,1,1,1,0,0
Reyna-Fabian M.E.,2020,Sci. Rep.,First comprehensive TSC1/TSC2 mutational analysis in Mexican patients with Tuberous Sclerosis Complex reveals numerous novel pathogenic variants,"['model', 'correlation', 'diagnosis', 'algorithm', 'optimization', 'modeling', 'genetic algorithm', 'none', 'detection', 'mean bias error']",10.1038/s41598-020-62759-5,0,0,0,0,0,0,0
Hussain A.,2020,Int J Electr Power Energy Syst,A novel sensor-less current technique for photovoltaic system using DC transformer model based model predictive control,"['transformer', 'method', 'temperature', 'converter', 'power', 'transform', 'control', 'experiment', 'photovoltaic', 'module', 'MPP', 'simulation', 'sensor', 'analysis', 'model', 'mppt', 'MPPT', 'algorithm', 'modeling', 'restrictive control set model predictive control', 'correction', 'mpp', 'prediction', 'system']",10.1016/j.ijepes.2020.106165,0,0,0,0,0,0,0
Alotaibi S.,2020,Energy Rep.,Solar-assisted steam power plant retrofitted with regenerative system using Parabolic Trough Solar Collectors,"['steam power plants', 'power', 'optimization', 'genetic algorithm', 'extraction', 'performance', 'photovoltaic', 'solar-assisted', 'analysis', 'power plant', 'algorithm', 'operatation', 'irradiation', 'load', 'regenerative system', 'system', 'weather']",10.1016/j.egyr.2019.12.019,0,0,0,0,0,0,0
Fahfouh A.,2020,Expert Sys Appl,PV-DAE: A hybrid model for deceptive opinion spam based on neural network architectures,"['model', 'deceptive opinion spam', 'algorithm', 'method', 'optimization', 'image', 'machine learning', 'genetic algorithm', 'extraction', 'mean bias error', 'data', 'paragraph vector model', 'denoising autoencoder model', 'deep learning', 'neural network']",10.1016/j.eswa.2020.113517,0,0,1,1,1,0,0
Suresh V.,2020,Energy Rep.,Modelling and optimization of an off-grid hybrid renewable energy system for electrification in a rural areas,"['method', 'power', 'optimization', 'genetic algorithm', 'control', 'battery', 'perturb and observe', 'home', 'hybrid renewable energy system', 'neural network', 'deep learning', 'wind', 'simulation', 'analysis', 'algorithm', 'machine learning', 'renewable energy', 'simulation and sensitivity analysis', 'load', 'hybrid', 'homer pro software', 'system', 'energy', 'grid']",10.1016/j.egyr.2020.01.013,0,0,1,1,1,0,0
Wang G.,2020,Energy Rep.,Optimal planning of multi-micro grids based-on networks reliability,"['reliability', 'distributed generators', 'generator', 'method', 'power', 'mean bias error', 'uncertainty', 'distribution', 'perturb and observe', 'micro-grid', 'deep learning', 'model', 'load', 'microgrid', 'system', 'energy', 'grid', 'optimization', 'transform', 'control', 'photovoltaic', 'neural network', 'parameter', 'wind', 'probabilistic modeling', 'smart distribution grid', 'distributed energy', 'algorithm', 'operatation', 'machine learning', 'modeling', 'design', 'clustering', 'distributed generation']",10.1016/j.egyr.2020.05.007,0,0,1,1,1,0,0
Yin W.,2020,Renew. Energy,A novel non-iterative correction method for short-term photovoltaic power forecasting,"['multi-model', 'error analysis', 'method', 'power', 'numerical weather prediction', 'characteristization', 'mean absolute error', 'photovoltaic power', 'photovoltaic', 'non-iterative correction', 'short-term', 'analysis', 'model', 'short-term forecasting', 'irradiation', 'correction', 'prediction', 'system', 'weather']",10.1016/j.renene.2020.05.134,0,0,0,0,0,0,0
Gruosso G.,2020,Int J Electr Power Energy Syst,Data-driven uncertainty analysis of distribution networks including photovoltaic generation,"['method', 'online', 'power', 'optimization', 'genetic algorithm', 'uncertainty analysis', 'non-linear', 'mean bias error', 'polynomial chaos', 'distribution', 'photovoltaic', 'loss', 'parameter', 'generation', 'unbalanced distribution network', 'simulation', 'analysis', 'model', 'algorithm', 'probabilistic load flow', 'photovoltaic generation', 'network', 'modeling', 'data-driven model', 'load', 'data', 'measurement', 'distributed generation']",10.1016/j.ijepes.2020.106043,0,0,0,0,0,0,0
Toledo C.,2020,Energy Build.,Thermal performance of PV modules as building elements: Analysis under real operating conditions of different technologies.,"['generator', 'method', 'temperature', 'power', 'optimization', 'transform', 'genetic algorithm', 'experiment', 'performance', 'building', 'photovoltaic', 'bipv', 'organic', 'thermal coefficients', 'module', 'model', 'correlation', 'algorithm', 'prediction', 'evaluation', 'renewable energy', 'BIPV', 'irradiation', 'efficiency', 'Silicon', 'pv module temperature', 'estimation', 'thermal', 'system', 'measurement', 'energy']",10.1016/j.enbuild.2020.110087,1,0,0,0,0,0,0
Carrio D.S.,2020,Atmos. Res.,Diagnosis of a high-impact secondary cyclone during HyMeX-SOP1 IOP18,"['weather', 'mechanism', 'high-resolution', 'numerical weather prediction', 'experiment', 'mean bias error', 'secondary cyclone', 'aging', 'GIS', 'wind', 'heat', 'diagnosis', 'factor separation', 'potential vorticity inversion', 'high-impact event', 'mediterranean', 'prediction', 'system', 'hymex']",10.1016/j.atmosres.2020.104983,0,0,0,0,0,0,0
Ramadhani U.H.,2020,Int J Electr Power Energy Syst,Review of probabilistic load flow approaches for power distribution systems with photovoltaic generation and electric vehicle charging,"['method', 'power', 'optimization', 'genetic algorithm', 'pv generation', 'charge', 'photovoltaic', 'charging', 'generation', 'ev charge', 'analysis', 'model', 'correlation', 'power distribution system', 'algorithm', 'probabilistic load flow', 'probabilistic uncertainty modeling', 'operatation', 'modeling', 'load', 'data', 'correlation modeling', 'system', 'grid']",10.1016/j.ijepes.2020.106003,0,0,0,0,0,0,0
Aghamolaei R.,2020,Renew. Energy,Feasibility analysis of community-based PV systems for residential districts: A comparison of on-site centralized and distributed PV installations,"['reliability', 'economic performance', 'method', 'converter', 'power', 'optimization', 'pv panels', 'performance', 'distribution', 'battery', 'photovoltaic', 'home', 'neural network', 'deep learning', 'analysis', 'feasibility analysis', 'model', 'algorithm', 'machine learning', 'techno-economic', 'evaluation', 'modeling', 'renewable energy', 'load', 'homer', 'design', 'system', 'grid', 'energy']",10.1016/j.renene.2020.05.024,0,0,1,1,1,0,0
Jarimi H.,2020,J. Build. Eng.,"Design, mathematical modelling and experimental investigation of vacuum insulated semi-transparent thin-film photovoltaic (PV) glazing","['method', 'temperature', 'optimization', 'semi-transparent thin-film pv', 'genetic algorithm', 'experiment', 'performance', 'low u-value', 'photovoltaic', 'aerogel pillars', 'indoor', 'model', 'innovative pv vg manufacturing method', 'algorithm', 'outdoor', 'design', 'thermal', 'energy']",10.1016/j.jobe.2020.101430,0,0,0,0,0,0,0
Pabon J.J.G.,2020,Renew. Energy,Modeling and energy analysis of a linear concentrating photovoltaic system cooled by two-phase mechanical pumped loop system,"['weather', 'temperature', 'power', 'optimization', 'linear concentrating photovoltaic', 'performance', 'photovoltaic', 'perturb and observe', 'solar energy', 'parameter', 'simulation', 'heat', 'model', 'cooling system', 'algorithm', 'cooling', 'irradiation', 'efficiency', 'two-phase flow', 'thermal', 'thermal energy storage', 'waste heat recovery', 'system', 'design', 'energy']",10.1016/j.renene.2020.05.039,0,0,0,0,0,0,0
Herdem M.S.,2020,Energy Convers. Manage.,Simulation and modeling of a combined biomass gasification-solar photovoltaic hydrogen production system for methanol synthesis via carbon dioxide hydrogenation,"['methanol', 'water electrolysis', 'power', 'optimization', 'genetic algorithm', 'performance', 'carbon dioxide hydrogenation', 'plant', 'photovoltaic', 'renewable-based hydrogen', 'large-scale', 'heat', 'model', 'power plant', 'biomass', 'algorithm', 'modeling', 'carbon', 'renewable energy', 'load', 'solar photovoltaic plant', 'system', 'grid', 'energy']",10.1016/j.enconman.2020.113045,0,0,0,0,0,0,0
Violidakis Iota.,2020,Energy Build.,Dynamic modelling of an ultra high temperature PCM with combined heat and electricity production for application at residential buildings,"['temperature', 'converter', 'power', 'optimization', 'discharging', 'energy storage', 'genetic algorithm', 'ESS', 'performance', 'building', 'photovoltaic', 'home', 'charging', 'parameter', 'heat-electricity production', 'ultra-high temperatures', 'heat', 'analysis', 'model', 'algorithm', 'modeling', '1d dymola', 'hybrid', 'high temperature', 'Silicon', '1D', 'design', 'thermal', 'system', 'silicon phase change', 'energy']",10.1016/j.enbuild.2020.110067,0,0,0,0,0,0,0
Wu H.,2020,IEEE Trans. Ind. Inf.,Distribution Network Reconfiguration for Loss Reduction and Voltage Stability with Random Fuzzy Uncertainties of Renewable Energy Generation and Load,"['fuzzy', 'method', 'power', 'optimization', 'output', 'performance', 'distribution', 'particle swarm optimization', 'photovoltaic', 'loss', 'wind', 'voltage stability', 'model', 'algorithm', 'particle swarm', 'distributed generation', 'algoritm', 'renewable energy', 'load', 'random fuzzy variable', 'system', 'energy']",10.1109/TII.2018.2871551,0,0,0,0,0,0,0
Batiyah S.,2020,Int J Electr Power Energy Syst,An MPC-based power management of standalone DC microgrid with energy storage,"['reliability', 'generator', 'method', 'power', 'model predictive control', 'ESS', 'distribution', 'wind turbine', 'BESS', 'power management', 'model', 'renewable energy', 'load', 'microgrid', 'system', 'management', 'grid', 'energy', 'dc microgrid', 'optimization', 'control', 'output', 'performance', 'battery', 'battery energy storage', 'photovoltaic', 'storage', 'parameter', 'wind', 'algorithm', 'prediction', 'design', 'weather', 'distributed generation']",10.1016/j.ijepes.2020.105949,0,0,0,0,0,0,0
Kumar A.,2020,J. Pet. Sci. Eng.,Core-scale modelling and numerical simulation of zwitterionic surfactant flooding: Designing of chemical slug for enhanced oil recovery,"['model', 'core flooding', 'method', 'algorithm', 'cmg-stars', 'optimization', 'zwitterionic surfactant', 'experiment', 'efficiency', 'enhanced oil recovery', 'parameter', 'simulation']",10.1016/j.petrol.2020.107333,0,0,0,0,0,0,0
Beza M.,2020,Int J Electr Power Energy Syst,Impact of converter control strategy on low- and high-frequency resonance interactions in power-electronic dominated systems,"['converter', 'power', 'optimization', 'genetic algorithm', 'control', 'wind farm', 'control interactions', 'input admittance', 'wind', 'grid-forming converter', 'simulation', 'analysis', 'model', 'power plant', 'stability analysis', 'algorithm', 'modeling', 'system', 'grid']",10.1016/j.ijepes.2020.105978,0,0,0,0,0,0,0
Camargo L.,2020,Comput. Methods Appl. Mech. Eng.,An HDG method for Maxwell's equations in heterogeneous media,"['analysis', 'model', 'method', 'algorithm', 'optimization', 'modeling', ""time-harmonic maxwell's equations"", 'genetic algorithm', 'hybrid', 'photovoltaic', 'hybridizable discontinuous galerkin', 'cell', 'parameter', 'photovoltaic solar cell', 'heterogeneous media']",10.1016/j.cma.2020.113178,0,0,0,0,0,0,0
Zhou Y.,2020,Energy,"Prediction of photovoltaic power output based on similar day analysis, genetic algorithm and extreme learning machine","['online', 'power', 'optimization', 'genetic algorithm', 'non-linear', 'output', 'mean absolute error', 'mean bias error', 'performance', 'photovoltaic', 'analysis', 'model', 'correlation', 'algorithm', 'operatation', 'photovoltaic power prediction', 'machine learning', 'hybrid', 'data', 'extreme learning machine', 'similar day analysis', 'prediction', 'meteorology', 'regression']",10.1016/j.energy.2020.117894,0,0,1,0,0,0,0
Risdiyanto A.,2020,Bull. Electr. Eng. Inform.,Design of constant output voltage DC-AC inverter for batteryless solar PV system,"['temperature', 'dc-ac inverter', 'converter', 'power', 'control', 'output', 'battery', 'photovoltaic', 'batteryless', 'model', 'constant voltage', 'modeling', 'irradiation', 'load', 'efficiency', 'inverter', 'design']",10.11591/eei.v9i4.2350,0,0,0,0,0,0,0
Momeni H.,2020,IEEE Trans. Ind. Inf.,Fault Diagnosis in Photovoltaic Arrays Using GBSSL Method and Proposing a Fault Correction System,"['method', 'online', 'temperature', 'optimization', 'genetic algorithm', 'output', 'characteristization', 'detection', 'mean bias error', 'protection', 'classification', 'photovoltaic', 'fault location', 'fault', 'solar photovoltaic  arrays', 'algorithm', 'fault correction', 'machine learning', 'irradiation', 'data', 'correction', 'fault classification', 'cell', 'system']",10.1109/TII.2019.2908992,0,0,1,0,0,0,0
Agwa A.M.,2020,Energy Convers. Manage.,Electrical characterization of photovoltaic modules using farmland fertility optimizer,"['method', 'online', 'temperature', 'optimization method', 'optimization', 'genetic algorithm', 'non-linear', 'characteristization', 'parameter identifications', 'performance', 'farmland fertility optimization', 'diode', 'photovoltaic', 'photovoltaic system', 'mean squared error', 'parameter', 'simulation', 'analysis', 'model', 'algorithm', 'modeling', 'irradiation', 'load', 'modeling and simulation', 'system']",10.1016/j.enconman.2020.112990,0,0,0,0,0,0,0
